Country;ISO3 Code;Date;Price (EUR/MWhe)
Austria;AUT;10/9/2015;33,61
Austria;AUT;11/9/2015;34,18
Austria;AUT;12/9/2015;29,38
Austria;AUT;13/9/2015;26,16
Austria;AUT;14/9/2015;33,55
Austria;AUT;15/9/2015;28,91
Austria;AUT;16/9/2015;33,19
Austria;AUT;17/9/2015;28,12
Austria;AUT;18/9/2015;37,06
Austria;AUT;19/9/2015;29,98
Austria;AUT;20/9/2015;22,28
Austria;AUT;21/9/2015;36,81
Austria;AUT;22/9/2015;33,71
Austria;AUT;23/9/2015;42,98
Austria;AUT;24/9/2015;31,95
Austria;AUT;25/9/2015;35,75
Austria;AUT;26/9/2015;32,68
Austria;AUT;27/9/2015;25,77
Austria;AUT;28/9/2015;34,83
Austria;AUT;29/9/2015;34,34
Austria;AUT;30/9/2015;37,17
Austria;AUT;1/10/2015;39,11
Austria;AUT;2/10/2015;37,59
Austria;AUT;3/10/2015;28,92
Austria;AUT;4/10/2015;31,17
Austria;AUT;5/10/2015;39,17
Austria;AUT;6/10/2015;37,31
Austria;AUT;7/10/2015;40,8
Austria;AUT;8/10/2015;47,32
Austria;AUT;9/10/2015;44,16
Austria;AUT;10/10/2015;32,71
Austria;AUT;11/10/2015;22,07
Austria;AUT;12/10/2015;35,57
Austria;AUT;13/10/2015;42,16
Austria;AUT;14/10/2015;44,79
Austria;AUT;15/10/2015;39,67
Austria;AUT;16/10/2015;47,75
Austria;AUT;17/10/2015;40,29
Austria;AUT;18/10/2015;37,77
Austria;AUT;19/10/2015;50,46
Austria;AUT;20/10/2015;48,35
Austria;AUT;21/10/2015;41,3
Austria;AUT;22/10/2015;37,14
Austria;AUT;23/10/2015;38,29
Austria;AUT;24/10/2015;32,45
Austria;AUT;25/10/2015;33,73
Austria;AUT;26/10/2015;39,37
Austria;AUT;27/10/2015;40,55
Austria;AUT;28/10/2015;42,3
Austria;AUT;29/10/2015;49,68
Austria;AUT;30/10/2015;43,07
Austria;AUT;31/10/2015;35,41
